task,args,language,runs,warmup,mean_s,median_s,stdev_s,min_s,max_s
sieve_primes,5000000,c,3,1,0.01858198933333277,0.01916526099999949,0.002710857707451616,0.015008894999999356,0.02157181199999947
sieve_primes,5000000,cpp,3,1,0.01724535566666674,0.017849894000001143,0.0015672070564341487,0.015096439000000572,0.018789733999998504
sieve_primes,5000000,rust,3,1,0.01688447233333316,0.016941622000000933,0.0008749414699778999,0.01578546100000011,0.017926333999998434
sieve_primes,5000000,go,3,1,0.018198848333333,0.017673574999999886,0.0017837750079898304,0.016324700999998498,0.020598269000000613
sieve_primes,5000000,java,3,1,0.05305300666666687,0.051035520999999306,0.004024096773439587,0.049453350000000285,0.058670149000001004
sieve_primes,5000000,kotlin,3,1,0.06927919199999977,0.07198800099999758,0.005246736277982192,0.0619423860000019,0.07390718899999982
sieve_primes,5000000,csharp,3,1,0.10049467066666651,0.1006899919999995,0.0007673990256627268,0.09947248900000005,0.10132153099999996
sieve_primes,5000000,swift,3,1,0.03377516733333271,0.03421804599999945,0.001022500529071553,0.03236160599999849,0.03474585000000019
sieve_primes,5000000,node,3,1,0.05179221833333377,0.0519566410000003,0.00023400392234373626,0.05146128900000235,0.05195872499999865
sieve_primes,5000000,bun,3,1,0.043243605000000684,0.043013384000001764,0.0006252052598148282,0.04261941100000044,0.04409801999999985
sieve_primes,5000000,python,3,1,0.05479129033333289,0.05550439699999998,0.0011424224809909156,0.05317922800000119,0.0556902459999975
sort_ints,2000000,c,3,1,0.24526044399999947,0.2467720999999976,0.0023223403862605756,0.24197952800000166,0.24702970399999913
sort_ints,2000000,cpp,3,1,0.1459190149999993,0.14598969099999692,0.0002586629037449487,0.14557285000000064,0.14619450400000034
sort_ints,2000000,rust,3,1,0.044876906000001306,0.04544020600000209,0.0011031359707345898,0.04333534200000244,0.04585516999999939
sort_ints,2000000,go,3,1,0.29649747099999973,0.2963953400000001,0.0001916487412147015,0.2963311179999977,0.29676595500000147
sort_ints,2000000,java,3,1,0.273725892333335,0.27380858000000075,0.015046886956529096,0.25525609000000316,0.2921130070000011
sort_ints,2000000,kotlin,3,1,0.28280105966666724,0.28569501900000205,0.0071261728378564735,0.2729939210000012,0.2897142389999985
sort_ints,2000000,csharp,3,1,0.35560571933333307,0.35118681699999854,0.007847638193042902,0.34899853199999953,0.36663180900000114
sort_ints,2000000,swift,3,1,0.17610132700000017,0.1759436480000005,0.0005965615761240208,0.1754624050000011,0.17689792799999893
sort_ints,2000000,node,3,1,1.5538451323333315,1.555789384999997,0.06298507068244844,1.475750741999999,1.6299952699999984
sort_ints,2000000,bun,3,1,1.141025862666666,1.1392235679999985,0.005130337852344052,1.1358406029999983,1.1480134170000014
sort_ints,2000000,python,3,1,1.502195691333334,1.4880973149999974,0.02614754591038515,1.479639676000005,1.5388500829999998
matmul_f64,256,c,3,1,0.005318906333333946,0.005298422999999275,0.00017319528734374123,0.0051177710000018806,0.0055405250000006845
matmul_f64,256,cpp,3,1,0.007830332666666587,0.006466598000002932,0.001984665618656498,0.006387695999997334,0.010636703999999497
matmul_f64,256,rust,3,1,0.007802739666667928,0.00749709200000126,0.0007165316486213436,0.007118867000002638,0.008792259999999885
matmul_f64,256,go,3,1,0.022423213666667625,0.021355102000001125,0.005224000019521972,0.01662642299999817,0.029288116000003583
matmul_f64,256,java,3,1,0.052120756333335315,0.05195962799999876,0.0003284990297445001,0.051823967000004245,0.052578674000002934
matmul_f64,256,kotlin,3,1,0.06590145899999793,0.06455806099999961,0.002123255590023568,0.06424747899999517,0.06889883699999899
matmul_f64,256,csharp,3,1,0.10338282866666522,0.10338464899999877,0.0003237071193659205,0.102985462999996,0.1037783740000009
matmul_f64,256,swift,3,1,0.0200468270000016,0.02012461500000029,0.00021495815983962551,0.019753429000004985,0.020262436999999522
matmul_f64,256,node,3,1,0.07794367800000164,0.077983825000004,0.000436489536797448,0.07739014799999921,0.07845706100000172
matmul_f64,256,bun,3,1,0.05204765266666792,0.052591038000002754,0.001079729605845597,0.05054013099999821,0.05301178900000281
matmul_f64,256,python,3,1,1.3006679450000032,1.3020986410000006,0.010564340351355714,1.2870734370000037,1.312831757000005
string_kmp,5000000 16,c,3,1,0.0160103720000014,0.01602452299999868,0.00003828104727830889,0.01595804200000117,0.016048551000004352
string_kmp,5000000 16,cpp,3,1,0.01847929399999752,0.018481670999996425,0.000016672475060077592,0.018457789999999363,0.018498420999996767
string_kmp,5000000 16,rust,3,1,0.015576418333331787,0.015570551999999793,0.00006439977116985079,0.015500641999999232,0.015658060999996337
string_kmp,5000000 16,go,3,1,0.020677159000001666,0.02071029600000429,0.00033488826229449074,0.02025144299999937,0.021069738000001337
string_kmp,5000000 16,java,3,1,0.04502926066666646,0.045123940999999945,0.00022425687904566245,0.044719787999994765,0.04524405300000467
string_kmp,5000000 16,kotlin,3,1,0.06319814066666633,0.06338322699999566,0.00036246158393340056,0.0626916229999992,0.06351957200000413
string_kmp,5000000 16,csharp,3,1,0.10095549000000166,0.1002288259999986,0.00154502793387947,0.09953426700000279,0.1031033770000036
string_kmp,5000000 16,swift,3,1,0.025616208000002416,0.025335142999999505,0.0006615823314111911,0.02498389600000195,0.026529585000005795
string_kmp,5000000 16,node,3,1,0.09370385999999797,0.09311604299999487,0.0010233966446575359,0.09285240199999834,0.09514313500000071
string_kmp,5000000 16,bun,3,1,0.6214264253333326,0.6209178659999992,0.0019364731539809866,0.6193502719999984,0.6240111380000002
string_kmp,5000000 16,python,3,1,1.327965912000001,1.328410165000001,0.0032239579572216656,1.3238140480000027,1.3316735229999992
